task;task.short_description;Urgency;task.business_duration
INC0403268;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:5.4000;Some;249
INC0403268;SOPRWSUS01:mon_SO_WIN_Processor load (1 min average) TRIGGERED EVENT: Processor load is too high on SOPRWSUS01 WITH VALUE:5.4000;Some;249
INC0403269;CFPLWP02:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP02 WITH VALUE:2.0650;Not immediate;758
INC0403270;CFPLWP01:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP01 WITH VALUE:3.4225;Not immediate;627
INC0403271;CFPLWP01:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP01 WITH VALUE:6.4575;Some;508
INC0403271;CFPLWP01:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP01 WITH VALUE:6.4575;Some;508
INC0403272;CFPLWP02:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP02 WITH VALUE:6.1550;Some;626
INC0403272;CFPLWP02:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP02 WITH VALUE:6.1550;Some;626
INC0403273;CFPLWP01:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP01 WITH VALUE:7.3575;Some;507
INC0403273;CFPLWP01:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP01 WITH VALUE:7.3575;Some;507
INC0403273;CFPLWP01:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP01 WITH VALUE:7.3575;Some;507
INC0403274;CFPLWP02:mon_SO_UNIX_Number of running processes TRIGGERED EVENT: Too many processes running on CFPLWP02 WITH VALUE:28;Not immediate;378
INC0403275;CFPLWP02:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP02 WITH VALUE:8.0000;Some;636
INC0403275;CFPLWP02:mon_SO_UNIX_Processor load (1 min average per core) TRIGGERED EVENT: Processor load is too high on CFPLWP02 WITH VALUE:8.0000;Some;636
