task;task.short_description;Urgency;task.business_duration
INC0403213;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;245
INC0403213;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;245
INC0403214;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;105
INC0403214;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;105
INC0403215;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;106
INC0403215;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;106
INC0403216;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;236
INC0403216;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;236
INC0403217;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;116
INC0403217;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;116
INC0403218;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;115
INC0403218;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;115
INC0403219;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;14921
INC0403219;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;14921
INC0403219;CFPWCON002.cgcof.inet:mon_SO_WIN_Free swap space TRIGGERED EVENT: Lack of free swap space on CFPWCON002.cgcof.inet WITH VALUE:0;Some;14921
INC0403220;PRO HIGH Alert Type: NetworkIn. Threshold Crossed: 1 datapoint [6.1438108E7 (27/04/21 05:51:00)] was greater than or equal to the threshold (3.0E7).;Not immediate;37066
INC0403220;PRO HIGH Alert Type: NetworkIn. Threshold Crossed: 1 datapoint [6.1438108E7 (27/04/21 05:51:00)] was greater than or equal to the threshold (3.0E7).;Not immediate;37066
INC0403220;PRO HIGH Alert Type: NetworkIn. Threshold Crossed: 1 datapoint [6.1438108E7 (27/04/21 05:51:00)] was greater than or equal to the threshold (3.0E7).;Not immediate;37066
INC0403220;PRO HIGH Alert Type: NetworkIn. Threshold Crossed: 1 datapoint [6.1438108E7 (27/04/21 05:51:00)] was greater than or equal to the threshold (3.0E7).;Not immediate;37066
